pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,soltype,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassprov,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_lum,st_lumerr1,st_lumerr2,st_lumlim,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_dens,st_denserr1,st_denserr2,st_denslim,ra,dec,sy_bmag,sy_bmagerr1,sy_bmagerr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,sy_tmag,sy_tmagerr1,sy_tmagerr2
TOI-5300 b,TOI-5300,1,1,1,Transit,Published Confirmed,0,2.26219600000,0.00000300000,-0.00000300000,0,0.0295000000,0.0003000000,-0.0003000000,0,9.86390302,0.89671846,-0.89671846,0,190.69704420,31.78284070,-31.78284070,0,Mass,1.100000,0.400000,-0.300000,0,0.000000,,,0,198.0000,6.0000,-6.0000,0,1043.00,67.00,-66.00,0,89.20000,0.50000,-0.60000,0,4610.00,207.00,-207.00,0,0.650000,0.060000,-0.060000,0,0.670000,0.020000,-0.020000,0,-0.1700,0.0700,-0.0700,0,[Fe/H],-0.76195,0.00993,-0.01016,0,4.640000,0.080000,-0.080000,0,3.002930,0.098688,-0.169179,0,356.4811370,0.4587978,15.0180000,0.0340000,-0.0340000,13.8690000,0.2630000,-0.2630000,13.2333000,0.0007350,-0.0007350,12.4559000,0.0061000,-0.0061000
TOI-532 b,TOI-532,1,1,1,Transit,Published Confirmed,0,2.32665080000,0.00000300000,-0.00000300000,0,0.0296000000,0.0003500000,-0.0003500000,0,5.82000000,0.19000000,-0.19000000,0,61.50000000,9.70000000,-9.30000000,0,Mass,1.720000,0.310000,-0.310000,0,0.000000,,,0,94.1000,8.0000,-8.0000,0,867.00,18.00,-18.00,0,88.08000,0.51000,-0.41000,0,3927.00,37.00,-37.00,0,0.612000,0.013000,-0.012000,0,0.639000,0.023000,-0.023000,0,0.3380,0.0720,-0.0660,0,[Fe/H],-1.09528,0.01016,-0.00985,0,4.669000,0.018000,-0.017000,0,3.920000,0.220000,-0.210000,0,85.0800537,11.5626373,15.8560000,0.0740000,-0.0740000,14.4130000,0.0060000,-0.0060000,13.6645000,0.0004850,-0.0004850,12.6785000,0.0074525,-0.0074525
TOI-5322 b,TOI-5322,1,1,1,Transit,Published Confirmed,0,5.42332070000,0.00000390000,-0.00000380000,0,0.0604000000,0.0010000000,-0.0009000000,0,16.61170940,0.34747840,-0.30264248,0,184.02264765,25.74410097,-25.74410097,0,Mass,0.220000,0.031000,-0.033000,0,0.055000,,,1,554.0000,35.0000,-30.0000,0,1350.00,21.00,-19.00,0,89.19000,0.56000,-0.68000,0,5692.00,87.00,-83.00,0,1.462000,0.028000,-0.025000,0,0.998000,0.051000,-0.046000,0,-0.0480,0.0420,-0.0770,0,[Fe/H],0.30750,0.02494,-0.02419,0,4.110000,0.012000,-0.018000,0,0.456000,0.011000,-0.024000,0,6.5293373,14.3364283,13.3590000,0.0430000,-0.0430000,12.7330000,0.0690000,-0.0690000,12.4839000,0.0002060,-0.0002060,12.0075000,0.0068000,-0.0068000
TOI-5340 b,TOI-5340,1,1,1,Transit,Published Confirmed,0,4.93943920000,0.00000710000,-0.00000720000,0,0.0628000000,0.0011000000,-0.0024000000,0,15.07607904,0.57165802,-0.54924005,0,270.15414595,79.45710175,-79.45710175,0,Mass,0.430000,0.150000,-0.130000,0,0.130000,,,1,1004.0000,68.0000,-72.0000,0,1566.00,26.00,-29.00,0,86.17000,0.69000,-0.73000,0,5990.00,130.00,-150.00,0,1.842000,0.055000,-0.054000,0,1.350000,0.070000,-0.150000,0,0.2080,0.0810,-0.0820,0,[Fe/H],0.59550,0.02672,-0.03919,0,4.036000,0.038000,-0.056000,0,0.302000,0.037000,-0.039000,0,59.3094816,22.3783373,13.1230000,0.0230000,-0.0230000,12.3990000,0.0800000,-0.0800000,12.2074000,0.0001880,-0.0001880,11.7085000,0.0093000,-0.0093000
TOI-5344 b,TOI-5344,1,1,1,Transit,Published Confirmed,0,3.79262200000,0.00000620000,-0.00000620000,0,0.0404100000,0.0007500000,-0.0007500000,0,10.60369574,0.23538859,-0.23538859,0,130.94530368,12.71313628,-12.71313628,0,Mass,0.604000,0.063000,-0.063000,0,0.054000,,,1,38.0000,3.0000,-3.0000,0,689.00,12.00,-12.00,0,87.15000,0.06700,-0.06700,0,3747.00,64.00,-64.00,0,0.588000,0.011000,-0.011000,0,0.612000,0.034000,-0.034000,0,0.4250,0.0880,-0.0880,0,[Fe/H],-1.21254,0.03340,-0.03618,0,4.686000,0.014000,-0.014000,0,4.240000,0.140000,-0.140000,0,63.2662165,20.9151568,16.8800000,0.0690000,-0.0690000,15.4020000,0.1490000,-0.1490000,14.3361000,0.0005890,-0.0005890,13.2239000,0.0073671,-0.0073671
TOI-5349 b,TOI-5349,1,1,1,Transit,Published Confirmed,0,3.31792100000,0.00000200000,-0.00000200000,0,0.0369000000,0.0004000000,-0.0004000000,0,10.20000000,0.30000000,-0.30000000,0,127.40000000,5.80000000,-5.50000000,0,Mass,0.660000,0.060000,-0.060000,0,0.030000,0.030000,-0.020000,0,44.5000,3.7000,-3.7000,0,719.00,15.00,-15.00,0,87.90000,0.20000,-0.20000,0,3751.00,59.00,-59.00,0,0.580000,0.010000,-0.010000,0,0.610000,0.020000,-0.020000,0,0.5000,0.1600,-0.1600,0,[Fe/H],-1.20066,0.01357,-0.01401,0,4.720000,0.040000,-0.040000,0,4.400000,0.300000,-0.300000,0,52.7125703,20.8796279,17.2360000,0.0220000,-0.0220000,15.6850000,0.0460000,-0.0460000,14.8907000,0.0006720,-0.0006720,13.8117000,0.0073654,-0.0073654
TOI-5422 b,TOI-5422,1,1,1,Transit,Published Confirmed,0,5.37721900000,0.00001000000,-0.00001000000,0,0.0619000000,0.0018000000,-0.0013000000,0,9.10169233,0.34747840,-0.28022452,0,8899.19539600,508.52545120,-381.39408840,0,Mass,65.800000,5.300000,-7.800000,0,0.094000,0.004700,-0.004500,0,580.0000,47.0000,-41.0000,0,1369.00,27.00,-25.00,0,88.71000,0.87000,-0.99000,0,5820.00,120.00,-120.00,0,1.474000,0.048000,-0.040000,0,1.066000,0.094000,-0.069000,0,-0.0120,0.0400,-0.0400,0,[Fe/H],0.35218,0.03875,-0.03621,0,4.135000,0.027000,-0.040000,0,0.479000,0.034000,-0.054000,0,86.8436173,25.6260342,12.4030000,0.3820000,-0.3820000,11.4990000,0.0300000,-0.0300000,11.7079000,0.0006630,-0.0006630,11.2391000,0.0062000,-0.0062000
TOI-5542 b,TOI-5542,1,1,1,Transit,Published Confirmed,0,75.12375000000,0.00019000000,-0.00018000000,0,0.3320000000,0.0160000000,-0.0160000000,0,11.30986153,0.40352331,-0.39231432,0,419.53349724,31.78284070,-31.78284070,0,Mass,1.600000,0.220000,-0.190000,0,0.018000,0.026000,-0.013000,0,9.6000,1.0000,-0.9000,0,441.00,48.00,-74.00,0,89.64300,0.06900,-0.06100,0,5700.00,80.00,-80.00,0,1.058000,0.036000,-0.036000,0,0.890000,0.056000,-0.031000,0,-0.2100,0.0800,-0.0800,0,[Fe/H],1.05700,0.09300,-0.09300,0,4.200000,0.200000,-0.200000,0,1.030000,0.110000,-0.100000,0,302.7984228,-61.1354659,12.9180000,0.3190000,-0.3190000,12.4200000,0.0460000,-0.0460000,12.2819000,0.0001890,-0.0001890,11.8452000,0.0060000,-0.0060000
TOI-5573 b,TOI-5573,1,1,1,Transit,Published Confirmed,0,8.79758977000,0.00000986000,-0.00001001000,0,0.0712000000,0.0008000000,-0.0008000000,0,9.75000000,0.47000000,-0.47000000,0,112.00000000,18.00000000,-19.00000000,0,Mass,0.661000,0.160000,-0.137000,0,0.072000,0.067000,-0.048000,0,12.9200,1.0500,-1.0500,0,528.00,10.00,-10.00,0,89.01000,0.39000,-0.20000,0,3790.00,59.00,-59.00,0,0.594000,0.011000,-0.011000,0,0.619000,0.023000,-0.023000,0,0.4200,0.1600,-0.1600,0,[Fe/H],-1.15927,0.01539,-0.01466,0,4.680000,0.040000,-0.040000,0,4.080000,0.260000,-0.240000,0,136.4259999,55.3071309,17.0630000,0.0800000,-0.0800000,15.5080000,0.0360000,-0.0360000,14.6741000,0.0003720,-0.0003720,13.6281000,0.0075085,-0.0075085
TOI-5592 b,TOI-5592,1,1,1,Transit,Published Confirmed,0,2.60858460000,0.00000180000,-0.00000180000,0,0.0393500000,0.0007400000,-0.0008200000,0,17.14974047,3.58687382,-1.79343691,0,285.72773789,22.24798849,-21.93016008,0,Mass,0.220000,0.100000,-0.120000,0,0.062000,,,1,1712.0000,96.0000,-88.0000,0,1789.00,25.00,-23.00,0,81.14000,0.48000,-0.68000,0,6237.00,100.00,-96.00,0,1.393000,0.038000,-0.038000,0,1.194000,0.069000,-0.073000,0,-0.0130,0.0520,-0.0600,0,[Fe/H],0.42160,0.01931,-0.01848,0,4.226000,0.036000,-0.036000,0,0.621000,0.068000,-0.061000,0,106.6800684,65.8572490,13.1800000,0.0660000,-0.0660000,12.6140000,0.0920000,-0.0920000,12.4963000,0.0001880,-0.0001880,12.1360000,0.0071000,-0.0071000
TOI-564 b,TOI-564,1,1,1,Transit,Published Confirmed,0,1.65114400000,0.00001800000,-0.00001800000,0,0.0273400000,0.0006100000,-0.0005300000,0,11.43318000,7.95839000,-3.25061000,0,464.98529000,31.78300000,-30.51168000,0,Mass,1.700000,3.100000,-1.400000,0,0.072000,0.083000,-0.050000,0,1423.0000,73.0000,-81.0000,0,1714.00,20.00,-21.00,0,78.38000,0.71000,-0.85000,0,5640.00,34.00,-37.00,0,1.088000,0.014000,-0.014000,0,0.998000,0.068000,-0.057000,0,0.1430,0.0760,-0.0780,0,[Fe/H],0.03262,0.01114,-0.01226,0,4.364000,0.032000,-0.028000,0,1.095000,0.090000,-0.075000,0,130.2951535,-16.0363275,11.7890000,0.2090000,-0.2090000,11.0970000,0.0140000,-0.0140000,11.1424000,0.0005990,-0.0005990,10.6701000,0.0061000,-0.0061000
TOI-5788 b,TOI-5788,1,1,2,Transit,Published Confirmed,0,6.34075800000,0.00003000000,-0.00003000000,0,0.0640000000,0.0011000000,-0.0011000000,0,1.52800000,0.07500000,-0.07500000,0,3.72000000,0.94000000,-0.94000000,0,Mass,5.734161,1.543812,-1.543812,0,0.061000,0.066000,-0.042000,0,175.1000,6.7000,-6.7000,0,910.00,,,0,87.94000,0.26000,-0.20000,0,5615.00,25.00,-25.00,0,0.870000,0.006000,-0.006000,0,0.870000,0.040000,-0.040000,0,-0.3200,0.0400,-0.0400,0,[Fe/H],-0.14752,0.01084,-0.01112,0,4.420000,0.010000,-0.010000,0,1.889167,0.126884,-0.126884,0,287.4249017,31.7615284,10.8290000,0.0660000,-0.0660000,10.1530000,0.0050000,-0.0050000,10.0551000,0.0002490,-0.0002490,9.6069000,0.0060000,-0.0060000
